"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v2.x","","","","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1","1","0.47uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2,C7","2","2nf","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C3,C11","2","1000uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C4,C6","2","220uf","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
"C5","1","4.7uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C8,C9,C10,C12,C13,C14","6","100nf","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"D1","1","5V","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://diotec.com/tl_files/diotec/files/pdf/datasheets/zy1"
"D2","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"D3,D4,D5,D6,D11","5","SS310","","","","Diode_SMD:D_SMA","https://www.microdiode.com/uploadfiles//PDF/SS32-THRU-SS3200-SMA.pdf"
"D7,D8,D15","3","1N5824","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"D9,D10,D12","3","5V","","","","Diode_THT:D_A-405_P10.16mm_Horizontal","~"
"D13","1","18V","","","","Diode_THT:D_A-405_P10.16mm_Horizontal","~"
"D14","1","1N5822","","","","Diode_THT:D_A-405_P10.16mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"J1","1","DC INPUT","","","","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical","~"
"J2","1","OLED","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","AC input","","","","Library:BY-G4","~"
"J4","1","output_connector","","","","Library:aviaion_connector","~"
"J5","1","mosfet_driver_future_backup","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"L1","1","33uH","","","","Inductor_SMD:L_12x12mm_H6mm","~"
"L2,L3","2","100uH","","","","Inductor_THT:L_Radial_D7.5mm_P3.50mm_Fastron_07P","~"
"Q1","1","IRF9540N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf"
"Q2","1","BC547","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R3,R4,R5,R9,R13","6","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","1","2k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R7","1","220k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8,R11,R12,R18","4","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R10","1","470","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R14,R15","2","4.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R16","1","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R17","1","3k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles","~"
"U1","1","LM2596S-ADJ","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U2","1","LM358","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
